PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+ COMMAND
3055,cps,20,0,11552,1580,1128,S,0,0.0, sh -c { sudo discoveryTool eth0; } 2>&1
3056,root,20,0,41576,2376,1628,S,0,0.0, sudo discoveryTool eth0
3057,root,20,0,8288,568,416,S,0,0.0, discoveryTool eth0
3122,root,20,0,11756,1672,1196,S,0,0.0, sh metric_ext.sh
3142,root,20,0,40816,2376,1628,S,0,0.0, sudo /usr/bin/ntp-serverControl -CS CompontState
3164,root,20,0,11552,1576,1124,S,0,0.0, /bin/sh -c sudo cps-hastateGet -HA ntp-server;echo $?
3165,root,20,0,41576,2372,1624,S,0,0.0, sudo cps-hastateGet -HA ntp-server
4005,root,0,-20,0,0,0,S,0,0.0, [trunk0]
4087,openstac,20,0,214m,56m,5800,S,0,0.4, /usr/bin/python /usr/bin/ceilometer-agent-compute --config-file /etc/ceil
4327,cps,20,0,124m,8192,2800,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
4448,cps,20,0,60836,6664,1072,S,0,0.0, python /usr/bin/AutoDiscoveryTimer.py
4497,root,20,0,0,0,0,S,0,0.0, [kjournald]
4506,omm,20,0,99348,12m,3124,S,0,0.1, /opt/tangram/oma/bin/omm_agent.bin --bboxpath=/var/log/tangram/omm/oma/..
4511,root,20,0,0,0,0,S,0,0.0, [kjournald]
4526,root,20,0,0,0,0,S,0,0.0, [kjournald]
4540,root,20,0,0,0,0,S,0,0.0, [kjournald]
4560,root,20,0,0,0,0,S,0,0.0, [kjournald]
4586,root,0,-20,0,0,0,S,0,0.0, [xfsalloc]
4587,root,0,-20,0,0,0,S,0,0.0, [xfs_mru_cache]
4588,root,0,-20,0,0,0,S,0,0.0, [xfslogd]
4589,root,20,0,0,0,0,S,0,0.0, [xfsbufd/dm-10]
4590,root,0,-20,0,0,0,S,0,0.0, [xfs-data/dm-10]
4591,root,0,-20,0,0,0,S,0,0.0, [xfs-conv/dm-10]
4592,root,20,0,0,0,0,S,0,0.0, [xfsaild/dm-10]
4606,root,20,0,0,0,0,S,0,0.0, [kjournald]
4620,root,20,0,0,0,0,S,0,0.0, [kjournald]
4753,openstac,20,0,198m,49m,4552,S,0,0.3, /usr/bin/python /usr/bin/ceilometer-agent-hardware --config-file /etc/cei
4761,root,20,0,0,0,0,S,0,0.0, [flush-25
4762,root,20,0,0,0,0,S,0,0.0, [flush-25
4763,root,20,0,0,0,0,S,0,0.0, [flush-25
4765,root,20,0,0,0,0,S,0,0.0, [flush-25
4823,cps,20,0,124m,8232,2840,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
5045,cps,20,0,68900,10m,2980,S,0,0.1, /usr/bin/python /usr/bin/cbs-serverControl -S RUN -HA ACTIVE -N {'instId'
5416,cps,20,0,187m,18m,3776,S,0,0.1, python /usr/local/bin/network-client/network_client/networkconf.py -c /et
5551,cps,20,0,60200,8056,2860,S,0,0.0, python /usr/bin/monitor_syslog_ip.py
6093,root,20,0,213m,7004,4124,S,0,0.0, /usr/sbin/libvirtd -d -l
6424,root,20,0,0,0,0,S,0,0.0, [kworker/u:2]
6458,root,20,0,0,0,0,S,0,0.0, [kworker/
6478,root,20,0,0,0,0,S,0,0.0, [kworker/
6486,cps,20,0,64180,7848,2728,S,0,0.0, /usr/bin/python /usr/local/bin/cps-monitor/cps_monitor/sys_monitor.py
6633,root,20,0,171m,1684,932,S,0,0.0, /usr/sbin/nscd
